"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","11.4.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-11.4.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-11.4.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"glibc","2.39-5-ge0910f1d3278f05439fb434ee528fc9be1b6bd5e","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.39-5-ge0910f1d3278f05439fb434ee528fc9be1b6bd5e.tar.gz","https://github.com/bminor/glibc/archive/2.39-5-ge0910f1d3278f05439fb434ee528fc9be1b6bd5e","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"linux-headers","custom","GPL-2.0","","linux-0b54dbda3cca2beb51e236a25738784e90853b64.tar.gz","https://github.com/raspberrypi/linux/archive/0b54dbda3cca2beb51e236a25738784e90853b64","skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"busybox","1.36.1","GPL-2.0, bzip2-1.0.4","LICENSE archival/libarchive/bz/LICENSE","busybox-1.36.1.tar.bz2","https://www.busybox.net/downloads","expat [MIT] fbset [GPL-2.0] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] iproute2 [GPL-2.0+] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libffi [MIT] libopenssl [Apache-2.0] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] python3 [Python-2.0, others] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] tcl [TCL] tk [TCL] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"fbset","2.1","GPL-2.0","fbset.c","fbset-2.1.tar.gz","http://users.telenet.be/geertu/Linux/fbdev","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"iproute2","6.8.0","GPL-2.0+","COPYING","iproute2-6.8.0.tar.xz","https://cdn.kernel.org/pub/linux/utils/net/iproute2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libcap [GPL-2.0 or BSD-3-Clause] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libcap","2.69","GPL-2.0 or BSD-3-Clause","License","libcap-2.69.tar.xz","https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"kmod","31","LGPL-2.1+ (library), GPL-2.0+ (tools)","libkmod/COPYING COPYING","kmod-31.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libopenssl","3.3.0","Apache-2.0","LICENSE.txt","openssl-3.3.0.tar.gz","https://www.openssl.org/source","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libzlib","1.3.1","Zlib","LICENSE","zlib-1.3.1.tar.xz","https://www.zlib.net","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"systemd","254.9","LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)","LICENSE.GPL2 LICENSE.LGPL2.1 LICENSES/BSD-2-Clause.txt LICENSES/BSD-3-Clause.txt LICENSES/CC0-1.0.txt LICENSES/LGPL-2.0-or-later.txt LICENSES/Linux-syscall-note.txt LICENSES/lookup3-public-domain.txt LICENSES/MIT-0.txt LICENSES/MIT.txt LICENSES/murmurhash2-public-domain.txt LICENSES/OFL-1.1.txt LICENSES/README.md","systemd-254.9.tar.gz","https://github.com/systemd/systemd-stable/archive/v254.9","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libopenssl [Apache-2.0] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libxcrypt","4.4.36","LGPL-2.1+","LICENSING COPYING.LIB","libxcrypt-4.4.36.tar.xz","https://github.com/besser82/libxcrypt/releases/download/v4.4.36","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"util-linux-libs","2.39.3","LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcrypt [LGPL-2.1+] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"util-linux","2.39.3","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libffi [MIT] libopenssl [Apache-2.0] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] python3 [Python-2.0, others] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] tcl [TCL] tk [TCL] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"ncurses","6.4-20230603","MIT with advertising clause","COPYING","ncurses-6.4-20230603.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_4_20230603","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"python3","3.11.8","Python-2.0, others","LICENSE","Python-3.11.8.tar.xz","https://python.org/ftp/python/3.11.8","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libopenssl [Apache-2.0] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] tcl [TCL] tk [TCL] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"expat","2.6.2","MIT","COPYING","expat-2.6.2.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.6.2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libffi","3.4.6","MIT","LICENSE","libffi-3.4.6.tar.gz","https://github.com/libffi/libffi/releases/download/v3.4.6","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"sqlite","3.45.1","blessing","tea/license.terms","sqlite-autoconf-3450100.tar.gz","https://www.sqlite.org/2024","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"tk","8.6.13","TCL","license.terms","tk8.6.13-src.tar.gz","http://downloads.sourceforge.net/project/tcl/Tcl/8.6.13","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] tcl [TCL] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"tcl","8.6.13","TCL","license.terms","tcl8.6.13-src.tar.gz","http://downloads.sourceforge.net/project/tcl/Tcl/8.6.13","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing]"
"xlib_libX11","1.8.7","MIT","COPYING","libX11-1.8.7.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"libxcb","1.15","MIT","COPYING","libxcb-1.15.tar.xz","http://xcb.freedesktop.org/dist","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xcb-proto","1.15.2","MIT","COPYING","xcb-proto-1.15.2.tar.xz","https://xorg.freedesktop.org/archive/individual/proto","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xlib_libXau","1.0.11","MIT","COPYING","libXau-1.0.11.tar.xz","http://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xorgproto [MIT] xutil_util-macros [MIT]"
"xorgproto","2023.2","MIT","COPYING-applewmproto COPYING-bigreqsproto COPYING-compositeproto COPYING-damageproto COPYING-dmxproto COPYING-dri2proto COPYING-dri3proto COPYING-evieproto COPYING-fixesproto COPYING-fontcacheproto COPYING-fontsproto COPYING-glproto COPYING-inputproto COPYING-kbproto COPYING-lg3dproto COPYING-pmproto COPYING-presentproto COPYING-printproto COPYING-randrproto COPYING-recordproto COPYING-renderproto COPYING-resourceproto COPYING-scrnsaverproto COPYING-trapproto COPYING-videoproto COPYING-windowswmproto COPYING-x11proto COPYING-xcmiscproto COPYING-xextproto COPYING-xf86bigfontproto COPYING-xf86dgaproto COPYING-xf86driproto COPYING-xf86miscproto COPYING-xf86rushproto COPYING-xf86vidmodeproto COPYING-xineramaproto COPYING-xwaylandproto","xorgproto-2023.2.tar.xz","https://xorg.freedesktop.org/archive/individual/proto","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xutil_util-macros","1.20.0","MIT","COPYING","util-macros-1.20.0.tar.xz","https://xorg.freedesktop.org/archive/individual/util","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xlib_libXdmcp","1.1.4","MIT","COPYING","libXdmcp-1.1.4.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_xtrans","1.5.0","MIT","COPYING","xtrans-1.5.0.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xlib_libXft","2.3.8","MIT","COPYING","libXft-2.3.8.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"fontconfig","2.14.2","fontconfig license","COPYING","fontconfig-2.14.2.tar.xz","https://www.freedesktop.org/software/fontconfig/release","expat [MIT] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"freetype","2.13.2","FTL or GPL-2.0+","LICENSE.TXT docs/FTL.TXT docs/GPLv2.TXT","freetype-2.13.2.tar.xz","http://download.savannah.gnu.org/releases/freetype","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libpng","1.6.43","Libpng-2.0","LICENSE","libpng-1.6.43.tar.xz","http://downloads.sourceforge.net/project/libpng/libpng16/1.6.43","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xlib_libXext","1.3.5","MIT","COPYING","libXext-1.3.5.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXrender","0.9.11","MIT","COPYING","libXrender-0.9.11.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"dbus","1.14.10","AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)","COPYING","dbus-1.14.10.tar.xz","https://dbus.freedesktop.org/releases/dbus","expat [MIT] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libopenssl [Apache-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libSM","1.2.4","MIT","COPYING","libSM-1.2.4.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xlib_libICE [MIT] xlib_xtrans [MIT] xorgproto [MIT]"
"xlib_libICE","1.1.1","MIT","COPYING","libICE-1.1.1.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xlib_xtrans [MIT] xorgproto [MIT]"
"fbv","1.0b","GPL-2.0","COPYING","fbv-1.0b.tar.gz","http://s-tech.elsat.net.pl/fbv","gcc-final [GPL-3.0-with-GCC-exception] giflib [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"giflib","5.2.2","MIT","COPYING","giflib-5.2.2.tar.gz","http://downloads.sourceforge.net/project/giflib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"jpeg-turbo","2.1.5","IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)","LICENSE.md README.ijg","libjpeg-turbo-2.1.5.tar.gz","https://downloads.sourceforge.net/project/libjpeg-turbo/2.1.5","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"kbd","2.5.1","GPL-2.0+","COPYING CREDITS","kbd-2.5.1.tar.xz","https://cdn.kernel.org/pub/linux/utils/kbd","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libdrm","2.4.120","MIT","data/meson.build","libdrm-2.4.120.tar.xz","https://dri.freedesktop.org/libdrm","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libopenssl [Apache-2.0] libpthread-stubs [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libpthread-stubs","0.5","MIT","COPYING","libpthread-stubs-0.5.tar.xz","http://xcb.freedesktop.org/dist","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"liberation","2.1.5","OFL-1.1","LICENSE","liberation-fonts-ttf-2.1.5.tar.gz","https://github.com/liberationfonts/liberation-fonts/files/7261482","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libevdev","1.13.1","MIT","COPYING","libevdev-1.13.1.tar.xz","http://www.freedesktop.org/software/libevdev","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libnl","3.9.0","LGPL-2.1+","COPYING","libnl-3.9.0.tar.gz","https://github.com/thom311/libnl/releases/download/libnl3_9_0","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libpciaccess","0.18.1","MIT","COPYING","libpciaccess-0.18.1.tar.xz","http://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libsha1","0.3","BSD-3-Clause or GPL","COPYING","libsha1-0.3.tar.gz","https://github.com/dottedmag/libsha1/archive/0.3","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"linux","custom","GPL-2.0","","linux-0b54dbda3cca2beb51e236a25738784e90853b64.tar.gz","https://github.com/raspberrypi/linux/archive/0b54dbda3cca2beb51e236a25738784e90853b64","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
