"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"xlib_libXi","1.8.1","MIT","COPYING","libXi-1.8.1.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXfixes","6.0.1","MIT","COPYING","libXfixes-6.0.1.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXrandr","1.5.3","MIT","COPYING","libXrandr-1.5.3.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xkbcomp","1.4.6","MIT","COPYING","xkbcomp-1.4.6.tar.xz","http://xorg.freedesktop.org/releases/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libxkbfile [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libxkbfile","1.1.2","MIT","COPYING","libxkbfile-1.1.2.tar.xz","http://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xrandr","1.5.2","MIT","COPYING","xrandr-1.5.2.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xset","1.2.5","MIT","COPYING","xset-1.2.5.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXmu [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xsetmode","1.0.0","MIT","COPYING","xsetmode-1.0.0.tar.bz2","http://xorg.freedesktop.org/releases/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXi [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xvinfo","1.1.5","MIT","COPYING","xvinfo-1.1.5.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXv [ISC-like] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXv","1.0.12","ISC-like","COPYING","libXv-1.0.12.tar.xz","http://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xwininfo","1.1.6","MIT","COPYING","xwininfo-1.1.6.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXmu [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xdata_xbitmaps","1.1.3","MIT","COPYING","xbitmaps-1.1.3.tar.xz","https://xorg.freedesktop.org/archive/individual/data","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xdriver_xf86-input-evdev","2.10.6","MIT","COPYING","xf86-input-evdev-2.10.6.tar.bz2","http://xorg.freedesktop.org/releases/individual/driver","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libdrm [MIT] libevdev [MIT] libopenssl [Apache-2.0] libpciaccess [MIT] libpng [Libpng-2.0] libpthread-stubs [MIT] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] mcookie [Public Domain] mtdev [MIT] pixman [MIT] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xdata_xbitmaps [MIT] xfont_encodings [Public Domain] xkeyboard-config [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXcursor [MIT] xlib_libXdamage [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXfont2 [MIT] xlib_libXft [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_libXres [MIT] xlib_libXxf86vm [MIT] xlib_libfontenc [MIT] xlib_libxcvt [MIT] xlib_libxkbfile [MIT] xlib_libxshmfence [MIT] xlib_xtrans [MIT] xorgproto [MIT] xserver_xorg-server [MIT] xutil_util-macros [MIT]"
